user_k,handle_n,alias_n,bio_x,followers_t,statuses_t,favorites_t,friends_t,listed_t,verified_f,politician_f,media_f,location_x,language_n,timezone_n,created_y,created_s,user_c,russian_troll_f
29,cynthiamhunter,cynthia mary hunter,christian conservative #proconstitution #2a #prolife #proisrael #cruzcrew #sov #sot #lovefreedom #standunited,429,2759,4532,451,23,FALSE,,,united states,english,eastern time (us & canada),8/7/2013,8/7/2013 1:19,1651693646,TRUE
30,acejinev,bossy bo$$,"very outspoken, but don't take it for anger. xoxo. loving and welcoming to everyone!  #blacklivesmatter #blacktolive",900,1725,1836,806,11,FALSE,,,ny,english,eastern time (us & canada),8/7/2013,8/7/2013 5:22,1652138929,TRUE
31,antonhayhay,anton haynes,white people are the most blood thirsty savages the world has ever seen #blm #icantbreath,671,1936,1849,310,14,FALSE,,,usa,english,eastern time (us & canada),8/7/2013,8/7/2013 6:52,1652262638,TRUE
32,alecmooooody,alec moody,"love and respect all colors of skin. teach respect, responsibility, and strength! #blacklivesmatter  #staywoke",905,3420,3738,530,23,FALSE,,,usa,english,eastern time (us & canada),8/7/2013,8/7/2013 13:58,1652987412,TRUE
33,jaydaastonishin,jayda stone,aquarius. queen bey stan. happily taken. carefree black gyal ?,916,1978,2191,1196,9,FALSE,,,florida,english,eastern time (us & canada),8/7/2013,8/7/2013 17:59,1653553555,TRUE
34,melanymelanin,?m?e?l?a?n?i?n?,,963,2121,2717,915,10,FALSE,,,"st louis, mo",english,eastern time (us & canada),8/8/2013,8/8/2013 11:23,1655194147,TRUE
35,imissobama,nancy campbell,i already miss barack obama in 2k16 smth...,784,2124,2088,478,14,FALSE,,,,english,eastern time (us & canada),8/8/2013,8/8/2013 19:11,1656024374,TRUE
36,jeannemccarthy0,jeanne mccarthy,"conservative domestic goddess devoted to god, family, country, praying daily for #america! #tcot #ccot #repealobamacare.",3242,1999,1863,3420,35,FALSE,,,usa,english,eastern time (us & canada),8/9/2013,8/9/2013 2:18,1656685598,TRUE
37,daileyjadon,jadon dailey,"you only live once, but if you do it right, once is enough",1753,2299,1298,1485,13,FALSE,,,us,english,eastern time (us & canada),8/9/2013,8/9/2013 12:38,1657694515,TRUE
38,adrienne_gg,adrienne,lucky i am)),1822,2083,1010,1548,15,FALSE,,,usa,english,eastern time (us & canada),8/9/2013,8/9/2013 13:55,1657833811,TRUE
